# 数学者名 / Mathematicians
# reading	word	pos	flags
しゅーあ	Schur	person
しゅーあ	シューア	person
しょうだけんじろう	Shoda	person
しょうだけんじろう	正田建次郎	person
しょるつ	Scholze	person
しょるつ	ショルツ	person
しるべすたー	Sylvester	person
しるべすたー	シルベスター	person
しろー	Sylow	person
しろー	シロー	person
しんがー	Singer	person
しんがー	シンガー	person
じょるだん	Jordan	person
じょるだん	ジョルダン	person
じんぼうみちお	Jimbo	person
じんぼうみちお	神保道夫	person
すえつなじょいち	Suetsuna	person
すえつなじょいち	末綱恕一	person
すこーれむ	Skolem	person
すこーれむ	スコーレム	person
すずきみちお	Suzuki	person
すずきみちお	鈴木通夫	person
すちゅーでんと	Student	person	common
すちゅーでんと	スチューデント	person	common
すてぃるちぇす	Stieltjes	person
すてぃるちぇす	スティルチェス	person
すてぃーんろっど	Steenrod	person
すてぃーんろっど	スティーンロッド	person
すとーくす	Stokes	person
すとーくす	ストークス	person
すとーん	Stone	person	common
すとーん	ストーン	person	common
すなだとしかず	Sunada	person
すなだとしかず	砂田利一	person
すみるのふ	Smirnov	person
すみるのふ	スミルノフ	person
すめいる	Smale	person
すめいる	スメイル	person
せめれでぃ	Szemeredi	person
せめれでぃ	Szemerédi	person
せめれでぃ	セメレディ	person
せるばーく	Selberg	person
せるばーく	セルバーク	person
せるばーぐ	Selberg	person
せるばーぐ	セルバーグ	person
せーる	Serre	person
せーる	セール	person
そぼれふ	Sobolev	person
そぼれふ	ソボレフ	person
たお	Tao	person
たお	タオ	person
たかぎていじ	Takagi	person
たかぎていじ	高木貞治	person
たけうち	Takeuchi	person
たけうち	竹内	person
たけうちがいし	Takeuti	person
たけうちがいし	竹内外史	person
たけさきまさみち	Takesaki	person
たけさきまさみち	竹崎正道	person
たにやま	Taniyama	person
たにやま	谷山	person
たまがわつねお	Tamagawa	person
たまがわつねお	玉河恒夫	person
たるすき	Tarski	person
たるすき	タルスキ	person
たれす	Thales	person
たれす	タレス	person
だいそん	Dyson	person
だいそん	ダイソン	person
だらんべーる	d'Alembert	person
だらんべーる	ダランベール	person
だるぶー	Darboux	person
だるぶー	ダルブー	person
ちぇっく	Cech	person
ちぇっく	Čech	person
ちぇっく	チェック	person
ちぇば	Ceva	person
ちぇば	チェバ	person
ちぇびしぇふ	Chebyshev	person
ちぇびしぇふ	チェビシェフ	person
ちこのふ	Tychonoff	person
ちこのふ	チコノフ	person
ちばはやと	Chiba	person
ちばはやと	千葉逸人	person
ちゃう	Chau	person
ちゃう	Châu	person
ちゃう	チャウ	person
ちゃーち	Church	person	common
ちゃーち	チャーチ	person	common
ちゃーん	Chern	person
ちゃーん	チャーン	person
ちゅーりんぐ	Turing	person
ちゅーりんぐ	チューリング	person
つぇるめろ	Zermelo	person
つぇるめろ	ツェルメロ	person
つぉるん	Zorn	person
つぉるん	ツォルン	person
つだいちろう	Tsuda	person
つだいちろう	津田一郎	person
てぃっつ	Tits	person
てぃっつ	ティッツ	person
ていと	Tate	person
ていと	テイト	person
ていらー	Taylor	person
ていらー	テイラー	person
てらおひさし	Terao	person
てらおひさし	寺尾寿	person
てらおひろあき	Terao	person
てらおひろあき	寺尾宏明	person
てらざわかんいち	Terazawa	person
てらざわかんいち	寺沢寛一	person
でぃらっく	Dirac	person
でぃらっく	ディラック	person
でぃりくれ	Dirichlet	person
でぃりくれ	ディリクレ	person
でぃるわーす	Dilworth	person
でぃるわーす	ディルワース	person
でかると	Descartes	person
でかると	デカルト	person
でざるぐ	Desargues	person
でざるぐ	デザルグ	person
でできんと	Dedekind	person
でできんと	デデキント	person
でゅみにるこぱん	Duminil-Copin	person
でゅみにるこぱん	デュミニル＝コパン	person
でーできんと	Dedekind	person
でーできんと	デーデキント	person
とぅらーん	Turan	person
とぅらーん	Turán	person
とぅらーん	トゥラーン	person
とねり	Tonelli	person
とねり	トネリ	person
とむ	Thom	person
とむ	トム	person
とんぷそん	Thompson	person
とんぷそん	トンプソン	person
とーぷりっつ	Toeplitz	person
とーぷりっつ	トープリッツ	person
どりーにゅ	Deligne	person
どりーにゅ	ドリーニュ	person
どろねー	Delaunay	person
どろねー	ドロネー	person
ないまるく	Naimark	person
ないまるく	ナイマルク	person
なかさわたけお	Nakasawa	person
なかさわたけお	中澤武雄	person
なかじまひらく	Nakajima	person
なかじまひらく	中島啓	person
なかやまただし	Nakayama	person
なかやまただし	中山正	person
ながたじゅんいち	Nagata	person
ながたじゅんいち	長田潤一	person
ながたまさよし	Nagata	person
ながたまさよし	永田雅宜	person
なぐもみちお	Nagumo	person
なぐもみちお	南雲道夫	person
なっしゅ	Jr.	person
なっしゅ	ナッシュ	person
にこでぃむ	Nikodym	person
にこでぃむ	ニコディム	person
にしおかくみこ	Nishioka	person
にしおかくみこ	西岡久美子	person
にしだごろう	Nishida	person
にしだごろう	西田吾郎	person
にゅーとん	Newton	person
にゅーとん	ニュートン	person
にーれんばーぐ	Nirenberg	person
にーれんばーぐ	ニーレンバーグ	person
ねいぴあ	Napier	person
ねいぴあ	ネイピア	person
ねいまん	Neyman	person
ねいまん	ネイマン	person
ねろん	Neron	person
ねろん	Néron	person
ねろん	ネロン	person
ねーたー	Noether	person
ねーたー	ネーター	person
のいまん	Neumann	person
のいまん	ノイマン	person
のみずかつみ	Nomizu	person
のみずかつみ	野水克己	person
はいね	Heine	person
はいね	ハイネ	person
はいやーむ	Khayyam	person
はいやーむ	ハイヤーム	person
はいらー	Hairer	person
はいらー	ハイラー	person
はうすどるふ	Hausdorff	person
はうすどるふ	ハウスドルフ	person
はっせ	Hasse	person
はっせ	ハッセ	person
はっとりあきお	Hattori	person
はっとりあきお	服部晶夫	person
はみるとん	Hamilton	person
はみるとん	ハミルトン	person
はやしたかお	Hayashi	person
はやしたかお	林隆夫	person
はるきひろし	Haruki	person
はるきひろし	春木博	person
はわーど	Howard	person	common
はわーど	ハワード	person	common
はーでぃ	Hardy	person
はーでぃ	ハーディ	person
ばなっは	Banach	person
ばなっは	バナッハ	person
ばなふ	Banach	person
ばなふ	バナフ	person
ばらだん	Varadhan	person
ばらだん	ヴァラダン	person
ばるがば	Bhargava	person
ばるがば	バルガヴァ	person
ばんでるもんど	Vandermonde	person
ばんでるもんど	ヴァンデルモンド	person
ばーま	Verma	person
ばーま	ヴァーマ	person
ぱすかる	Pascal	person
ぱすかる	パスカル	person
ぱちょーり	Pacioli	person
ぱちょーり	パチョーリ	person
ぱっぷす	Pappus	person
ぱっぷす	パップス	person
ぱんるべ	Painleve	person
ぱんるべ	Painlevé	person
ぱんるべ	パンルヴェ	person
ぱーせばる	Parseval	person
ぱーせばる	パーセバル	person
ひだはるぞう	Hida	person
ひだはるぞう	肥田晴三	person
ひゅぱてぃあ	Hypatia	person
ひゅぱてぃあ	ヒュパティア	person
ひらちけんご	Hirachi	person
ひらちけんご	平地健吾	person
ひるべると	Hilbert	person
